,Report_Year,Waste,IndProc_and_ProdUse,AgrFor_and_Other,Total,EG_and_Tg_Prod,Transport,Other,Waste_SD,Waste_Diff,Waste_Portion,IndProc_and_ProdUse_SD,IndProc_and_ProdUse_Diff,IndProc_and_ProdUse_Portion,AgrFor_and_Other_SD,AgrFor_and_Other_Diff,AgrFor_and_Other_Portion,Total_SD,Total_Diff,Total_Portion,EG_and_Tg_Prod_SD,EG_and_Tg_Prod_Diff,EG_and_Tg_Prod_Portion,Transport_SD,Transport_Diff,Transport_Portion,Other_SD,Other_Diff,Other_Portion
19,2009,2210,1370,25,42300,29100,7390,2210,0.2944448092279979,150.64516129032245,0.052245862884160756,0.4457792897041592,203.32258064516122,0.03238770685579196,-1.1624307747350997,-35.32258064516129,0.000591016548463357,0.8356345347257292,3012.9032258064544,1.0,0.9159842974100739,3190.322580645163,0.6879432624113475,0.23728492544528046,77.0967741935483,0.17470449172576832,-0.569023127158876,-565.483870967742,0.052245862884160756
20,2010,2200,1580,32,40800,27400,7340,2280,0.27489922231992947,140.64516129032245,0.05392156862745098,0.9061986417546236,413.3225806451612,0.03872549019607843,-0.9320677810204727,-28.32258064516129,0.000784313725490196,0.41960663467491155,1512.9032258064544,1.0,0.4278915524807425,1490.3225806451628,0.6715686274509803,0.08339721229039128,27.0967741935483,0.17990196078431372,-0.4985850104483933,-495.48387096774195,0.05588235294117647
21,2011,2290,1350,32,42300,29600,7150,1950,0.45080950449254503,230.64516129032245,0.0541371158392435,0.40192982760411494,183.32258064516122,0.031914893617021274,-0.9320677810204727,-28.32258064516129,0.000756501182033097,0.8356345347257292,3012.9032258064544,1.0,1.0595409870951713,3690.322580645163,0.6997635933806147,-0.5013760976981876,-162.9032258064517,0.1690307328605201,-0.8306504177978116,-825.483870967742,0.04609929078014184
22,2012,2340,1640,29,42600,29400,7090,2090,0.5485374390328871,280.64516129032245,0.054929577464788736,1.0377470280547563,473.3225806451612,0.038497652582159626,-1.0307947783267415,-31.32258064516129,0.0006807511737089201,0.9188401147358928,3312.9032258064544,1.0,1.0021183112211323,3490.322580645163,0.6901408450704225,-0.6860413534840546,-222.9032258064517,0.16643192488262912,-0.6897741843768462,-685.483870967742,0.04906103286384977
23,2013,2530,1690,31,43900,30300,7240,2080,0.9199035902861866,470.64516129032245,0.05763097949886105,1.147370683304867,523.3225806451612,0.03849658314350797,-0.9649767801225623,-29.32258064516129,0.0007061503416856492,1.2793976281132682,4612.903225806454,1.0,1.2605203526543078,4390.322580645163,0.6902050113895216,-0.22437821401938707,-72.9032258064517,0.16492027334851936,-0.6998367724783437,-695.483870967742,0.04738041002277904
24,2014,2500,1630,30,44700,31200,7290,1990,0.8612668295619814,440.64516129032245,0.05592841163310962,1.0158222970047341,463.3225806451612,0.03646532438478747,-0.9978857792246518,-30.32258064516129,0.0006711409395973154,1.5012791748070375,5412.903225806454,1.0,1.5189223940874832,5290.322580645163,0.697986577181208,-0.07049050086449789,-22.9032258064517,0.16308724832214766,-0.7904000653918215,-785.483870967742,0.04451901565995526
25,2015,2400,1710,30,41300,27700,7410,2020,0.6658109604812974,340.64516129032245,0.05811138014527845,1.1912201454049112,543.3225806451612,0.041404358353510896,-0.9978857792246518,-30.32258064516129,0.0007263922518159806,0.5582826013585175,2012.9032258064544,1.0,0.514025566291801,1790.3225806451628,0.6707021791767555,0.2988400107072361,97.0967741935483,0.1794188861985472,-0.760212301087329,-755.483870967742,0.04891041162227603
26,2016,2450,1650,30,41500,28000,7400,2010,0.7635388950216394,390.64516129032245,0.05903614457831325,1.0596717591047784,483.3225806451612,0.03975903614457831,-0.9978857792246518,-30.32258064516129,0.0007228915662650603,0.6137529880319598,2212.9032258064544,1.0,0.6001595801028595,2090.322580645163,0.6746987951807228,0.2680624680762583,87.0967741935483,0.1783132530120482,-0.7702748891888265,-765.483870967742,0.048433734939759034
27,2017,2800,1720,30,40600,26700,7360,2020,1.4476344368040333,740.6451612903224,0.06896551724137931,1.2131448764549333,553.3225806451612,0.042364532019704436,-0.9978857792246518,-30.32258064516129,0.0007389162561576355,0.3641362480014692,1312.9032258064544,1.0,0.22691218692160608,790.3225806451628,0.6576354679802956,0.14495229755234695,47.0967741935483,0.1812807881773399,-0.760212301087329,-755.483870967742,0.04975369458128079
28,2018,2980,1690,29,41000,26700,7470,2090,1.7994550011492645,920.6451612903224,0.07268292682926829,1.147370683304867,523.3225806451612,0.04121951219512195,-1.0307947783267415,-31.32258064516129,0.0007073170731707317,0.4750770213483539,1712.9032258064544,1.0,0.22691218692160608,790.3225806451628,0.651219512195122,0.4835052664931031,157.0967741935483,0.1821951219512195,-0.6897741843768462,-685.483870967742,0.05097560975609756
29,2019,2950,1710,28,40200,26300,7270,1940,1.7408182404250594,890.6451612903224,0.07338308457711443,1.1912201454049112,543.3225806451612,0.04253731343283582,-1.063703777428831,-32.32258064516129,0.0006965174129353234,0.2531954746545845,912.9032258064544,1.0,0.11206683517352813,390.3225806451628,0.654228855721393,-0.13204558612645356,-42.9032258064517,0.1808457711442786,-0.8407130058993091,-835.483870967742,0.04825870646766169
30,2020,2960,1780,35,33800,20400,6650,1970,1.7603638273331277,900.6451612903224,0.08757396449704143,1.3446932627550658,613.3225806451612,0.052662721893491124,-0.833340783714204,-25.32258064516129,0.0010355029585798817,-1.5218568988955712,-5487.096774193546,1.0,-1.5819021031106217,-5509.677419354837,0.6035502958579881,-2.0402532292470794,-662.9032258064517,0.19674556213017752,-0.8105252415948165,-805.483870967742,0.05828402366863905
