year, month, day, temp, complete
2016,12,13,23.3,C
2016,12,14,22.0,C
2016,12,15,18.1,C
2016,12,16,15.4,C
2016,12,17,17.0,C
2016,12,18,19.8,C
2016,12,19,21.0,C
2016,12,20,21.7,C
2016,12,21,22.3,C
2016,12,22,23.2,C
2016,12,23,20.2,C
2016,12,24,18.5,C
2016,12,25,19.8,C
2016,12,26,21.7,C
2016,12,27,16.8,C
2016,12,28,14.2,C
2016,12,29,16.5,C
2016,12,30,17.2,C
2016,12,31,18.6,C
2017,1,1,19.5,C
2017,1,2,20.0,C
2017,1,3,20.0,C
2017,1,4,20.1,C
2017,1,5,21.2,C
2017,1,6,21.9,C
2017,1,7,21.0,C
2017,1,8,22.4,C
2017,1,9,20.4,C
2017,1,10,19.4,C
2017,1,11,19.0,C
2017,1,12,18.9,C
2017,1,13,15.6,C
2017,1,14,15.8,C
2017,1,15,15.7,C
2017,1,16,16.4,C
2017,1,17,18.0,C
2017,1,18,19.1,C
2017,1,19,20.1,C
2017,1,20,18.6,C
2017,1,21,16.7,C
2017,1,22,16.7,C
2017,1,23,16.7,C
2017,1,24,17.0,C
2017,1,25,17.5,C
2017,1,26,17.1,C
2017,1,27,17.6,C
2017,1,28,17.5,C
2017,1,29,19.3,C
2017,1,30,20.4,C
2017,1,31,16.7,C
2017,2,1,18.2,C
2017,2,2,16.7,C
2017,2,3,17.0,C
2017,2,4,18.3,C
2017,2,5,19.4,C
2017,2,6,18.1,C
2017,2,7,16.7,C
2017,2,8,17.6,C
2017,2,9,14.0,C
2017,2,10,12.5,C
2017,2,11,14.0,C
2017,2,12,15.1,C
2017,2,13,16.0,C
2017,2,14,17.2,C
2017,2,15,17.2,C
2017,2,16,18.0,C
2017,2,17,19.4,C
2017,2,18,19.1,C
2017,2,19,17.6,C
2017,2,20,20.3,C
2017,2,21,18.1,C
2017,2,22,18.9,C
2017,2,23,18.2,C
2017,2,24,12.6,C
2017,2,25,11.9,C
2017,2,26,14.2,C
2017,2,27,17.0,C
2017,2,28,17.4,C
2017,3,1,19.1,C
2017,3,2,19.9,C
2017,3,3,17.1,C
2017,3,4,18.5,C
2017,3,5,19.8,C
2017,3,6,19.9,C
2017,3,7,17.6,C
2017,3,8,16.3,C
2017,3,9,17.1,C
2017,3,10,17.7,C
2017,3,11,17.4,C
2017,3,12,18.5,C
2017,3,13,20.3,C
2017,3,14,18.5,C
2017,3,15,16.9,C
2017,3,16,17.7,C
2017,3,17,18.1,C
2017,3,18,18.9,C
2017,3,19,19.8,C
2017,3,20,20.7,C
2017,3,21,21.7,C
2017,3,22,18.8,C
2017,3,23,20.6,C
2017,3,24,20.2,C
2017,3,25,20.0,C
2017,3,26,15.9,C
2017,3,27,19.4,C
2017,3,28,20.4,C
2017,3,29,21.7,C
2017,3,30,21.6,C
2017,3,31,20.1,C
2017,4,1,18.5,C
2017,4,2,19.8,C
2017,4,3,20.4,C
2017,4,4,21.3,C
2017,4,5,22.9,C
2017,4,6,22.6,C
2017,4,7,23.3,C
2017,4,8,23.8,C
2017,4,9,24.7,C
2017,4,10,26.7,C
2017,4,11,25.7,C
2017,4,12,20.7,C
2017,4,13,20.0,C
2017,4,14,21.5,C
2017,4,15,23.1,C
2017,4,16,24.5,C
2017,4,17,26.2,C
2017,4,18,27.3,C
2017,4,19,27.1,C
2017,4,20,25.4,C
2017,4,21,26.2,C
2017,4,22,20.9,C
2017,4,23,21.1,C
2017,4,24,21.6,C
2017,4,25,22.2,C
2017,4,26,23.4,C
2017,4,27,22.4,C
2017,4,28,21.5,C
2017,4,29,22.3,C
2017,4,30,23.3,C
2017,5,1,24.2,C
2017,5,2,25.5,C
2017,5,3,26.7,C
2017,5,4,24.8,C
2017,5,5,25.9,C
2017,5,6,26.9,C
2017,5,7,25.5,C
2017,5,8,25.6,C
2017,5,9,25.9,C
2017,5,10,27.0,C
2017,5,11,26.5,C
2017,5,12,27.9,C
2017,5,13,26.1,C
2017,5,14,26.2,C
2017,5,15,25.6,C
2017,5,16,25.3,C
2017,5,17,25.5,C
2017,5,18,25.6,C
2017,5,19,24.7,C
2017,5,20,23.8,C
2017,5,21,24.2,C
2017,5,22,25.0,C
2017,5,23,26.2,C
2017,5,24,25.5,C
2017,5,25,26.0,C
2017,5,26,25.2,C
2017,5,27,26.1,C
2017,5,28,26.4,C
2017,5,29,26.0,C
2017,5,30,26.3,C
2017,5,31,28.5,C
2017,6,1,29.1,C
2017,6,2,29.6,C
2017,6,3,30.2,C
2017,6,4,29.8,C
2017,6,5,29.5,C
2017,6,6,29.3,C
2017,6,7,29.1,C
2017,6,8,29.3,C
2017,6,9,29.1,C
2017,6,10,29.3,C
2017,6,11,29.6,C
2017,6,12,28.1,C
2017,6,13,26.6,C
2017,6,14,28.6,C
2017,6,15,29.1,C
2017,6,16,29.1,C
2017,6,17,25.7,C
2017,6,18,26.4,C
2017,6,19,26.6,C
2017,6,20,26.8,C
2017,6,21,27.5,C
2017,6,22,29.5,C
2017,6,23,29.0,C
2017,6,24,28.9,C
2017,6,25,29.3,C
2017,6,26,29.7,C
2017,6,27,29.5,C
2017,6,28,29.8,C
2017,6,29,29.7,C
2017,6,30,28.7,C
2017,7,1,29.3,C
2017,7,2,28.9,C
2017,7,3,28.8,C
2017,7,4,26.8,C
2017,7,5,28.2,C
2017,7,6,27.8,C
2017,7,7,27.9,C
2017,7,8,28.1,C
2017,7,9,29.2,C
2017,7,10,29.2,C
2017,7,11,29.0,C
2017,7,12,29.2,C
2017,7,13,29.5,C
2017,7,14,29.4,C
2017,7,15,28.9,C
2017,7,16,28.3,C
2017,7,17,26.6,C
2017,7,18,26.6,C
2017,7,19,28.0,C
2017,7,20,29.1,C
2017,7,21,29.4,C
2017,7,22,29.3,C
2017,7,23,27.6,C
2017,7,24,28.4,C
2017,7,25,29.4,C
2017,7,26,29.4,C
2017,7,27,29.4,C
2017,7,28,30.4,C
2017,7,29,31.4,C
2017,7,30,32.3,C
2017,7,31,31.0,C
2017,8,1,30.5,C
2017,8,2,29.3,C
2017,8,3,27.6,C
2017,8,4,27.7,C
2017,8,5,29.4,C
2017,8,6,30.7,C
2017,8,7,30.6,C
2017,8,8,30.2,C
2017,8,9,29.7,C
2017,8,10,29.7,C
2017,8,11,29.8,C
2017,8,12,29.7,C
2017,8,13,29.7,C
2017,8,14,29.8,C
2017,8,15,29.9,C
2017,8,16,29.7,C
2017,8,17,29.9,C
2017,8,18,29.1,C
2017,8,19,29.6,C
2017,8,20,30.8,C
2017,8,21,31.3,C
2017,8,22,30.7,C
2017,8,23,27.4,C
2017,8,24,28.7,C
2017,8,25,28.7,C
2017,8,26,29.6,C
2017,8,27,26.1,C
2017,8,28,25.6,C
2017,8,29,28.7,C
2017,8,30,29.1,C
2017,8,31,28.7,C
2017,9,1,28.4,C
2017,9,2,28.3,C
2017,9,3,27.9,C
2017,9,4,26.7,C
2017,9,5,28.3,C
2017,9,6,29.0,C
2017,9,7,28.3,C
2017,9,8,28.4,C
2017,9,9,28.1,C
2017,9,10,29.3,C
2017,9,11,29.9,C
2017,9,12,30.4,C
2017,9,13,30.0,C
2017,9,14,29.2,C
2017,9,15,29.2,C
2017,9,16,30.6,C
2017,9,17,30.2,C
2017,9,18,29.3,C
2017,9,19,29.0,C
2017,9,20,29.2,C
2017,9,21,29.3,C
2017,9,22,29.4,C
2017,9,23,29.2,C
2017,9,24,29.3,C
2017,9,25,29.4,C
2017,9,26,29.7,C
2017,9,27,30.2,C
2017,9,28,29.9,C
2017,9,29,30.0,C
2017,9,30,28.7,C
2017,10,1,29.2,C
2017,10,2,29.6,C
2017,10,3,29.9,C
2017,10,4,29.2,C
2017,10,5,28.6,C
2017,10,6,28.9,C
2017,10,7,29.2,C
2017,10,8,29.0,C
2017,10,9,29.7,C
2017,10,10,29.8,C
2017,10,11,29.8,C
2017,10,12,29.6,C
2017,10,13,27.2,C
2017,10,14,24.8,C
2017,10,15,24.5,C
2017,10,16,27.5,C
2017,10,17,26.3,C
2017,10,18,26.8,C
2017,10,19,25.7,C
2017,10,20,24.5,C
2017,10,21,24.0,C
2017,10,22,23.7,C
2017,10,23,24.3,C
2017,10,24,24.6,C
2017,10,25,24.3,C
2017,10,26,24.6,C
2017,10,27,25.2,C
2017,10,28,25.6,C
2017,10,29,25.0,C
2017,10,30,23.2,C
2017,10,31,22.1,C
2017,11,1,23.4,C
2017,11,2,24.3,C
2017,11,3,25.3,C
2017,11,4,24.1,C
2017,11,5,23.3,C
2017,11,6,23.6,C
2017,11,7,24.4,C
2017,11,8,25.0,C
2017,11,9,24.6,C
2017,11,10,25.0,C
2017,11,11,24.9,C
2017,11,12,22.3,C
2017,11,13,22.5,C
2017,11,14,23.5,C
2017,11,15,23.6,C
2017,11,16,23.7,C
2017,11,17,24.3,C
2017,11,18,24.1,C
2017,11,19,20.0,C
2017,11,20,19.5,C
2017,11,21,19.8,C
2017,11,22,20.3,C
2017,11,23,18.2,C
2017,11,24,18.3,C
2017,11,25,18.4,C
2017,11,26,20.6,C
2017,11,27,20.5,C
2017,11,28,22.7,C
2017,11,29,23.8,C
2017,11,30,22.3,C
