date, pm25, pm10, o3, no2, so2, co
2022/7/1, 10, 8, 25, 1, 2, 2
2022/7/2, 17, 14, 23, 2, 2, 2
2022/7/3, 27, 15, 18, 4, 2, 2
2022/7/4, 31, 14, 18, 10, 2, 2
2022/7/5, 33, 13, 15, 15, 2, 3
2022/7/6, 31, 12, 12, 16, 2, 3
2022/7/7, 28, 8, 16, 7, 2, 2
2022/7/8, 18, 7, 11, 6, 2, 2
2022/7/9, 14, 6, 19, 4, 2, 1
2022/7/10, 15, 9, 25, 11, 2, 2
2022/7/11, 26, 8, 20, 10, 2, 2
2022/7/12, 20, 8, 26, 10, 2, 2
2022/7/13, 15, 9, 21, 10, 2, 1
2022/7/14, 24, 7, 22, 9, 3, 1
2022/7/15, 13, 11, 24, 4, 2, 1
2022/7/16, 21, 13, 22, 3, 2, 1
2022/7/17, 27, 15, 22, 5, 2, 1
2022/7/18, 28, 12, 19, 8, 2, 2
2022/7/19, 30, 9, 15, 6, 2, 2
2022/7/20, 21, 10, 21, 10, 2, 2
2022/7/21, 20, 18, 73, 14, 3, 2
2022/7/22, 38, 19, 78, 12, 3, 3
2022/7/23, 51, 21, 87, 8, 2, 2
2022/7/24, 53, 25, 94, 14, 2, 3
2022/7/25, 67, 18, 41, 14, 3, 3
2022/7/26, 52, 14, 40, 12, 2, 2
2022/7/27, 39, 20, 98, 11, 2, 3
2022/7/28, 52, 30, 66, 23, 3, 4
2022/7/29, 70, 32, 16, 29, 2, 5
2022/7/30, 77, 39, 111, 14, 2, 5
2022/7/31, 87, 14, 40, 9, 2, 3
2022/6/1, 31, 11, 19, 6, 1, 3
2022/6/2, 27, 13, 15, 6, 2, 4
2022/6/3, 29, 16, 22, 3, 2, 3
2022/6/4, 28, 13, 24, 2, 1, 3
2022/6/5, 30, 13, 21, 10, 2, 3
2022/6/6, 31, 11, 14, 15, 2, 4
2022/6/7, 26, 8, 10, 17, 2, 4
2022/6/8, 18, 9, 12, 16, 2, 4
2022/6/9, 23, 7, 19, 11, 2, 4
2022/6/10, 17, 10, 12, 17, 2, 5
2022/6/11, 25, 13, 23, 10, 2, 4
2022/6/12, 36, 10, 22, 5, 1, 3
2022/6/13, 27, 9, 17, 10, 2, 4
2022/6/14, 19, 12, 15, 14, 2, 3
2022/6/15, 30, 7, 3, 12, 2, 2
2022/6/16, 21, 9, 7, 4, 2, 1
2022/6/17, 25, 8, 14, 5, 2, 1
2022/6/18, 14, , 19, 5, 2, 1
2022/6/20, 30, 12, 15, 5, 2, 1
2022/6/21, 24, 9, 18, 7, 2, 1
2022/6/22, 17, 8, 29, 10, 2, 1
2022/6/23, 21, 12, 18, 14, 2, 2
2022/6/24, 32, 10, 18, 10, 2, 2
2022/6/25, 27, 7, 23, 8, 2, 2
2022/6/26, 20, 7, 20, 8, 2, 1
2022/6/27, 20, 9, 29, 12, 2, 2
2022/6/28, 23, 7, 16, 9, 2, 2
2022/6/29, 19, 7, 12, 10, 2, 2
2022/6/30, 14, 6, 24, 3, 2, 2
2022/5/1, 36, 9, 24, 8, 1, 5
2022/5/2, 19, 18, 53, 13, 1, 5
2022/5/3, 40, 24, 49, 14, 1, 4
2022/5/4, 42, 24, 48, 12, 1, 4
2022/5/5, 37, 22, 48, 10, 2, 4
2022/5/6, 47, 21, 48, 13, 1, 4
2022/5/7, 43, 24, 51, 11, 2, 4
2022/5/8, 53, 29, 41, 7, 1, 4
2022/5/9, 69, 18, 27, 9, 1, 4
2022/5/10, 50, 23, 13, 14, 1, 5
2022/5/11, 78, 68, 9, 16, 2, 5
2022/5/12, 129, 10, 10, 17, 2, 5
2022/5/13, 26, 6, 35, 12, 1, 5
2022/5/14, 17, 4, 37, 7, 1, 5
2022/5/15, 11, 8, 24, 15, 1, 6
2022/5/16, 20, 13, 52, 12, 2, 4
2022/5/17, 39, 20, 63, 15, 2, 3
2022/5/18, 44, 22, 51, 18, 2, 4
2022/5/19, 47, 23, 60, 13, 2, 4
2022/5/20, 54, 24, 43, 14, 2, 4
2022/5/21, 60, 18, 47, 5, 1, 4
2022/5/22, 47, 12, 39, 8, 1, 3
2022/5/23, 37, 8, 30, 11, 1, 5
2022/5/24, 23, 7, 23, 10, 1, 5
2022/5/25, 18, 9, 20, 12, 2, 4
2022/5/26, 30, 13, 4, 21, 2, 6
2022/5/27, 39, 14, 20, 11, 2, 4
2022/5/28, 37, 10, 22, 6, 1, 3
2022/5/29, 26, 10, 12, 13, 2, 4
2022/5/30, 26, 14, 17, 12, 2, 4
2022/5/31, 33, 15, 20, 9, 2, 3
2022/4/1, 31, 8, 25, 13, 1, 3
2022/4/2, 27, 19, 48, 9, 1, 2
2022/4/3, 50, 40, 73, 13, 1, 2
2022/4/4, 61, 40, 104, 14, 2, 3
2022/4/5, 69, 32, 79, 15, 2, 3
2022/4/6, 66, 24, 64, 13, 1, 3
2022/4/7, 49, 11, 79, 15, 2, 4
2022/4/8, 28, 9, 45, 8, 1, 3
2022/4/9, 17, 10, 49, 10, 1, 4
2022/4/10, 25, 9, 23, 18, 1, 4
2022/4/11, 27, 6, 16, 14, 2, 4
