date, pm25, pm10, o3, no2, so2
2022/1/17, 83, 36, 19, 18, 1
2022/1/18, 86, 22, 36, 21, 1
2022/1/19, 59, 19, 43, 15, 1
2022/1/20, 57, 27, 39, 12, 1
2022/1/21, 64, 5, 26, 10, 1
2022/1/22, 32, 7, 26, 14, 1
2022/1/23, 25, 14, 27, 16, 2
2022/1/24, 52, 13, 29, 12, 1
2022/1/25, 40, 24, 38, 13, 1
2022/1/26, 65, 23, 35, 13, 1
2022/1/27, 66, 21, 36, 9, 1
2022/1/28, 58, 16, 27, 11, 1
2022/1/29, 44, 8, 26, 7, 1
2022/1/30, 26, 14, 14, 10, 1
2022/1/31, 52, 13, 11, 6, 1
2021/10/1, 100, 23, 38, 12, 1
2021/10/2, 67, 14, 43, 8, 1
2021/10/3, 39, 22, 46, 9, 1
2021/10/4, 49, 25, 41, 11, 1
2021/10/5, 48, 29, 39, 8, 1
2021/10/6, 52, 19, 28, 8, 1
2021/10/7, 38, 4, 18, 6, 1
2021/10/8, 8, 10, 32, , 1
2021/10/9, 18, 20, 25, 9, 1
2021/10/10, 42, 29, 41, 14, 1
2021/10/11, 65, 18, 21, 7, 1
2021/10/12, 49, 9, 24, 2, 1
2021/10/13, 22, 11, 28, 7, 1
2021/10/14, 29, 16, 12, 16, 1
2021/10/15, 46, 20, 32, 11, 1
2021/10/16, 50, 13, 27, 8, 1
2021/10/17, 34, 20, 37, 12, 1
2021/10/18, 55, 26, 47, 14, 1
2021/10/19, 64, 21, 41, 10, 1
2021/10/20, 52, 20, 19, 14, 1
2021/10/21, 41, 10, 15, 11, 1
2021/10/22, 34, 25, 14, 13, 1
2021/10/23, 62, 16, 34, 9, 1
2021/10/24, 45, 18, 41, 15, 1
2021/10/25, 49, 23, 45, 16, 1
2021/10/26, 62, 30, 50, 14, 1
2021/10/27, 64, 27, 51, 11, 1
2021/10/28, 59, 35, 56, 11, 1
2021/10/29, 74, 36, 43, 15, 1
2021/10/30, 80, 37, 57, 14, 2
2021/10/31, 86, 35, 54, 11, 1
2021/11/1, 76, 25, 50, 9, 1
2021/11/2, 58, 34, 54, 11, 2
2021/11/3, 70, 28, 44, 11, 1
2021/11/4, 64, 25, 39, 12, 1
2021/11/5, 59, 19, 28, 15, 1
2021/11/6, 53, 18, 39, 14, 1
2021/11/7, 51, 21, 29, 9, 1
2021/11/8, 36, 26, 37, 16, 2
2021/11/9, 47, 21, 38, 22, 2
2021/11/10, 44, 17, 38, 23, 1
2021/11/11, 47, 23, 52, 21, 2
2021/11/12, 55, 31, 52, 22, 2
2021/11/13, 67, 20, 45, 16, 1
2021/11/14, 58, 28, 50, 22, 1
2021/11/15, 67, 29, 48, 20, 1
2021/11/16, 70, 43, 48, 20, 2
2021/11/17, 92, 28, 41, 20, 2
2021/11/18, 63, 32, 42, 19, 1
2021/11/19, 79, 20, 44, 8, 1
2021/11/20, 52, 25, 41, 7, 1
2021/11/21, 55, 18, 22, 13, 1
2021/11/22, 42, 34, 17, 14, 1
2021/11/23, 67, 34, 33, 20, 2
2021/11/24, 68, 36, 40, 28, 1
2021/11/25, 74, 31, 40, 24, 2
2021/11/26, 69, 28, 43, 22, 2
2021/11/27, 66, 32, 55, 20, 1
2021/11/28, 75, 29, 45, 26, 1
2021/11/29, 69, 35, 42, 16, 2
2021/11/30, 73, 36, 34, 17, 1
2021/12/1, 61, 33, 33, 24, 2
2021/12/2, 60, 27, 33, 21, 2
2021/12/3, 54, 21, 44, 24, 2
2021/12/4, 52, 36, 55, 25, 2
2021/12/5, 72, 30, 41, 27, 2
2021/12/6, 68, 26, 56, 20, 2
2021/12/7, 61, 31, 61, 12, 1
2021/12/8, 59, 34, 65, 14, 1
2021/12/9, 64, 26, 47, 15, 1
2021/12/10, 58, 26, 54, 12, 1
2021/12/11, 57, 31, 62, 16, 1
2021/12/12, 71, 58, 47, 19, 2
2021/12/13, 136, 44, 62, 22, 1
2021/12/14, 99, 23, 42, 11, 2
2021/12/15, 58, 21, 30, 14, 1
2021/12/16, 47, 18, 27, 15, 1
2021/12/17, 48, 43, 34, 15, 2
2021/12/18, 101, 43, 37, 14, 2
2021/12/19, 90, 29, 28, 20, 1
2021/12/20, 71, 8, 15, 15, 1
2021/12/21, 30, 14, 23, 16, 1
2021/12/22, 44, 18, 35, 17, 1
2021/12/23, 49, 41, 23, 32, 1
2021/12/24, 103, 35, 26, 17, 2
2021/12/25, 90, 38, 13, 11, 1
2021/12/26, 98, 21, 7, 11, 1
2021/12/27, 80, 44, 13, 25, 2
2021/12/28, 107, 53, 24, 30, 2
2021/12/29, 116, 30, 32, 18, 1
2021/12/30, 72, 37, 38, 19, 2
2021/12/31, 86, 52, 42, 15, 2
2022/1/1, 108, 47, 49, 19, 2
2022/1/2, 116, 26, 43, 13, 1
2021/7/1, 43, 18, 24, 6, 
2021/7/2, 42, 17, 22, 11, 
2021/7/3, 43, 14, 26, 7, 
2021/7/4, 37, 7, 15, 4, 
2021/7/5, 15, 8, 13, 7, 
2021/7/6, 15, 7, 18, 9, 
2021/7/7, 15, 8, 16, 9, 
2021/7/8, 20, 11, 25, 12, 1
2021/7/9, 33, 7, 20, 7, 
2021/7/10, 17, 7, 16, 5, 
2021/7/11, 13, 9, 15, 11, 
2021/7/12, 18, 9, 19, 15, 
2021/7/13, 24, 9, 20, 18, 1
2021/7/14, 28, 6, 16, 11, 1
2021/7/15, 12, 9, 17, 15, 
2021/7/16, 23, 9, 15, 9, 
2021/7/17, 25, 7, 25, 6, 1
2021/7/18, 17, 5, 19, 6, 
2021/7/19, 9, 4, 19, 12, 
2021/7/20, 11, 6, 22, 14, 
2021/7/21, 17, 19, 30, 12, 
2021/7/22, 38, 34, 116, 17, 1
2021/7/23, 78, 31, 87, 17, 
2021/7/24, 81, 20, 71, 13, 
2021/7/25, 59, 26, 55, 17, 
2021/7/26, 64, 34, 84, 17, 1
2021/7/27, 79, 26, 56, 15, 1
2021/7/28, 67, 15, 17, 18, 
2021/7/29, 44, 13, 21, 15, 1
2021/7/30, 33, 15, 28, 14, 1
2021/7/31, 42, 14, 40, 9, 
2021/8/1, 41, 16, 44, 15, 
2021/8/2, 49, 10, 31, 9, 1
2021/8/3, 27, 15, 43, 14, 
2021/8/4, 40, 19, 26, 19, 1
2021/8/5, 58, 22, 35, 18, 
2021/8/6, 63, 24, 32, 19, 
2021/8/7, 66, 20, 30, 12, 
2021/8/8, 54, 13, 17, 14, 
2021/8/9, 38, 15, 12, 17, 
2021/8/10, 38, 15, 16, 15, 
2021/8/11, 36, 12, 13, 14, 1
2021/8/12, 30, 12, 16, 13, 1
2021/8/13, 32, 9, 12, 14, 1
2021/8/14, 28, 8, 15, 14, 1
2021/8/15, 21, 10, 12, 15, 1
2021/8/16, 26, 15, 25, 13, 1
2021/8/17, 37, 12, 25, 16, 1
2021/8/18, 35, 12, 25, 14, 1
2021/8/19, 35, 10, 22, 14, 1
2021/8/20, 31, 9, 23, 10, 1
2021/8/21, 28, 7, 21, 8, 1
2021/8/22, 23, 6, 13, 9, 1
2021/8/23, 19, 6, 13, 11, 1
2021/8/24, 19, 7, 13, 11, 1
2021/8/25, 20, 5, 15, 8, 1
2021/8/26, 16, 8, 7, 12, 1
2021/8/27, 23, 12, 18, 11, 1
2021/8/28, 26, 13, 25, 10, 1
2021/8/29, 38, 15, 31, 9, 1
2021/8/30, 40, 15, 14, 14, 1
2021/8/31, 42, 6, 12, 9, 1
2021/9/1, 16, 6, 13, 9, 1
2021/9/2, 15, 6, 18, 13, 1
2021/9/3, 17, 4, 22, 10, 
2021/9/4, 13, 4, 20, 8, 
2021/9/5, 15, 8, 27, 10, 
2021/9/6, 26, 9, 18, 7, 
2021/9/7, 27, 9, 19, 10, 
2021/9/8, 23, 19, 64, 15, 1
2021/9/9, 48, 14, 37, 11, 2
2021/9/10, 37, 26, 109, 16, 2
2021/9/11, 60, 37, 88, 15, 
2021/9/12, 89, 29, 45, 18, 1
2021/9/13, 78, 11, 11, 18, 1
2021/9/14, 34, 29, 121, 23, 2
2021/9/15, 64, 21, 52, 19, 2
2021/9/16, 53, 28, 59, 21, 1
2021/9/17, 73, 21, 43, 9, 1
2021/9/18, 60, 9, 22, 6, 1
2021/9/19, 22, 9, 13, 11, 1
2021/9/20, 21, 13, 16, 15, 1
2021/9/21, 31, 10, 19, 10, 1
2021/9/22, 25, 8, 10, 10, 1
2021/9/23, 16, 12, 27, 10, 1
2021/9/24, 29, 19, 37, 7, 1
2021/9/25, 45, 26, 47, 8, 1
2021/9/26, 57, 31, 64, 15, 1
2021/9/27, 67, 34, 63, 16, 1
2021/9/28, 77, 39, 78, 17, 1
2021/9/29, 91, 43, 69, 18, 1
2021/9/30, 101, 40, 56, 15, 1
2021/4/1, 39, 13, 18, 11, 2
2021/4/2, 46, 13, 14, 15, 2
2021/4/3, 45, 28, 41, 16, 3
2021/4/4, 67, 29, 44, 8, 2
2021/4/5, 70, 44, 74, 9, 2
2021/4/6, 88, 28, 53, 9, 2
2021/4/7, 60, 24, 47, 10, 2
2021/4/8, 49, 24, 34, 16, 2
2021/4/9, 66, 35, 65, 11, 2
2021/4/10, 69, 20, 58, 5, 2
2021/4/11, 49, 16, 33, 14, 2
2021/4/12, 45, 16, 34, 16, 2
2021/4/13, 44, 21, 42, 14, 2
2021/4/14, 52, 17, 40, 9, 2
2021/4/15, 44, 23, 35, 12, 2
2021/4/16, 56, 25, 38, 14, 2
2021/4/17, 68, 88, 68, 10, 2
2021/4/18, 116, 57, 69, 9, 2
2021/4/19, 77, 35, 53, 10, 2
2021/4/20, 56, 36, 56, 10, 2
2021/4/21, 58, 36, 60, 14, 2
2021/4/22, 63, 41, 67, 22, 3
2021/4/23, 79, 23, 48, 9, 2
2021/4/24, 55, 19, 40, 6, 2
2021/4/25, 49, 20, 37, 11, 2
2021/4/26, 44, 13, 33, 9, 2
2021/4/27, 35, 23, 29, 15, 2
2021/4/28, 53, 15, 67, 18, 2
2021/4/29, 40, 17, 55, 21, 3
2021/4/30, 50, 21, 78, 20, 3
2021/5/1, 61, 24, 60, 16, 2
2021/5/2, 71, 20, 34, 11, 2
2021/5/3, 45, 20, 27, 11, 2
2021/5/4, 42, 20, 72, 18, 2
2021/5/5, 55, 32, 51, 10, 2
2021/5/6, 57, 25, 39, 18, 2
2021/5/7, 60, 20, 33, 14, 2
2021/5/8, 56, 17, 30, 11, 2
2021/5/9, 52, 9, 21, 12, 1
2021/5/10, 28, 9, 18, 9, 1
2021/5/11, 28, 11, 17, 8, 1
2021/5/12, 36, 13, 15, 10, 1
2021/5/13, 46, 13, 16, 11, 1
2021/5/14, 44, 12, 24, 10, 1
2021/5/15, 37, 11, 21, 7, 1
2021/5/16, 38, 10, 17, 8, 
2021/5/17, 30, 10, 19, 7, 
2021/5/18, 33, 11, 21, 7, 1
2021/5/19, 37, 12, 19, 6, 1
2021/5/20, 34, 8, 16, 5, 
2021/5/21, 21, 8, 17, 9, 1
2021/5/22, 26, 6, 21, 8, 
2021/5/23, 15, 6, 17, 13, 1
2021/5/24, 17, 8, 16, 13, 1
2021/5/25, 23, 8, 18, 9, 1
2021/5/26, 20, 9, 18, 10, 
2021/5/27, 18, 9, 19, 8, 1
2021/5/28, 23, 10, 19, 7, 
2021/5/29, 23, 14, 23, 6, 
2021/5/30, 37, 15, 22, 9, 1
2021/5/31, 38, 8, 20, 14, 
2021/6/1, 24, 13, 16, 13, 1
2021/6/2, 29, 19, 18, 12, 1
2021/6/3, 44, 15, 17, 15, 1
2021/6/4, 40, 33, 96, 17, 1
2021/6/5, 70, 50, 114, 15, 2
2021/6/6, 110, 15, 53, 8, 1
2021/6/7, 40, 14, 42, 6, 1
2021/6/8, 37, 6, 24, 10, 
2021/6/9, 18, 8, 18, 5, 1
2021/6/10, 19, 9, 19, 5, 1
2021/6/11, 20, 7, 19, 9, 
2021/6/12, 11, 9, 16, 8, 
2021/6/13, 16, 10, 21, 7, 
2021/6/14, 21, 12, 21, 10, 1
2021/6/15, 26, 15, 21, 6, 
2021/6/16, 33, 14, 21, 9, 
2021/6/17, 34, 13, 26, 8, 
2021/6/18, 32, 15, 27, 7, 
2021/6/19, 40, 17, 31, 6, 1
2021/6/20, 43, 19, 29, 13, 
2021/6/21, 48, 14, 20, 23, 1
2021/6/22, 37, 10, 16, 20, 1
2021/6/23, 27, 8, 27, 17, 
2021/6/24, 19, 9, 24, 17, 
2021/6/25, 29, 13, 14, 14, 
2021/6/26, 33, 19, 15, 12, 
2021/6/27, 43, 14, 14, 15, 
2021/6/28, 34, 19, 19, 10, 
2021/6/29, 46, 19, 21, 6, 
2021/6/30, 45, 18, 24, 5, 
2021/1/4, 79, 43, 48, 24, 3
2021/1/5, 90, 41, 43, 17, 2
2021/1/6, 91, 55, 20, 21, 2
2021/1/7, 121, 43, 19, 14, 2
